date,far-red_SIF,red_SIF,Gross_Primary_Production,NDVI,PAR,APAR,Light_Use_Efficiency,FPAR
(yyyy/mm/dd),(),(),(),(),(),(),(),()
2017/7/1,0.150458498,0.151198592,8.585859653,0.31577587,1249.8835,390.1214082,0.022967293,0.312126217
2017/7/2,0.161128206,0.130237467,6.973620979,0.27560395,681.6375,179.5081543,0.037809949,0.263348414
2017/7/6,0.262548535,0.285271597,12.63274728,0.327687294,1149.1015,367.2373841,0.03551564,0.31958655
2017/7/7,0.268828965,0.235905549,17.12730877,0.349727692,1164.888,398.0253211,0.044162322,0.341685485
2017/7/8,0.327755157,0.266589174,16.63290789,0.393999181,1212.4515,465.9866978,0.036761313,0.384334299
2017/7/9,0.287940237,0.22535901,16.58656178,0.413891521,1132.993,453.5837715,0.037998687,0.400341195
2017/7/10,0.451318129,0.252180873,21.92447375,0.499488908,965.4285,490.7539659,0.049108605,0.508327614
2017/7/11,0.35957255,0.214438508,15.95137009,0.600026058,630.12,364.8635067,0.050421747,0.57903813
2017/7/12,0.374761599,0.197092603,14.52314801,0.666961859,484.9394,297.2534411,0.06850838,0.612970283
2017/7/13,0.688690359,0.337794041,21.93590977,0.626319494,938.905,568.3210064,0.031781283,0.605301928
2017/7/20,1.344654072,0.488878395,22.74927783,0.796337148,1095.53,866.3360392,0.028606798,0.790791707
2017/7/21,0.62589011,0.264903261,18.36196493,0.802114784,609.8565,493.779457,0.058443462,0.80966499
2017/7/22,1.152072479,0.441701497,23.01073084,0.850196128,732.5195,626.4427183,0.045919437,0.855189136
2017/7/23,2.072656279,0.652705222,26.37057229,0.862191906,1125.393,972.0490391,0.028794377,0.863741856
2017/7/24,1.621627112,0.454290828,21.34228715,0.842689366,1192.34,998.4687288,0.023904746,0.837402694
2017/7/25,2.227667906,0.675203829,22.91737436,0.873879379,1170.9,1025.320737,0.023436309,0.875668919
2017/7/26,0.613202424,0.272807487,15.50820775,0.856653877,321.14895,277.6152145,0.111045935,0.864443787
2017/7/27,2.19914109,0.62484231,22.28974576,0.880357909,1179.3025,1041.193139,0.022289754,0.882888944
2017/7/28,1.7809227,0.529583094,22.31423493,0.881819294,984.981,870.2308565,0.026949389,0.883500145
2017/7/29,2.306031523,0.600373319,20.75004529,0.888362163,1184.97,1056.515399,0.020603077,0.891596749
2017/7/30,2.322955381,0.595079714,23.25872455,0.894871185,1179.5425,1058.929072,0.023046221,0.897745585
2017/7/31,2.187792595,0.582534959,26.53726354,0.894386916,1160.015,1039.930676,0.026352311,0.89648037
2017/8/1,2.205011013,0.589026671,27.65321773,0.890847819,1152.9315,1028.646142,0.028238396,0.89220057
2017/8/2,2.084612004,0.571923472,29.9855162,0.897555145,1060.099,956.1160055,0.032609113,0.901911996
2017/8/3,1.832526495,0.560636304,32.32602464,0.882231682,884.6485,782.6531971,0.045300159,0.884705278
2017/8/4,2.295661462,0.583266683,29.30481388,0.894856811,1208.7305,1085.464148,0.027698186,0.898019987
2017/8/5,1.350566127,0.439247343,24.46597854,0.883558644,667.35,593.5956762,0.045626318,0.889481795
2017/8/6,1.468228328,0.452632766,21.17889648,0.891933816,691.9605,618.0315347,0.034662521,0.893160137
2017/8/7,2.167535485,0.572372219,27.01943465,0.895271681,1152.0085,1035.272333,0.027678396,0.898667269
2017/8/8,2.060640449,0.518274352,26.54206181,0.900214596,1115.392,1008.380197,0.026427154,0.904059018
2017/8/9,1.911536598,0.526602283,28.49009838,0.894324954,924.047,829.6018812,0.036867019,0.897791867
2017/8/10,1.876660629,0.527747451,33.89474023,0.888352947,1033.432,924.1570874,0.037463755,0.894260181
2017/8/11,2.148805649,0.562773298,26.79921566,0.897124188,1163.084,1047.468943,0.026089479,0.900596125
2017/8/12,1.844534106,0.472087725,25.25088148,0.894637028,1011.3505,907.3210302,0.030026371,0.897138065
2017/8/13,1.165361186,0.367449948,25.07563823,0.887476663,617.8827778,548.8700435,0.051847321,0.888307723
2017/8/14,1.300659517,0.397959934,22.04899479,0.890906724,662.165,592.4459987,0.049383256,0.894710531
2017/8/15,0.695874672,0.268878875,12.36453931,0.863562239,339.617,294.821117,0.055870521,0.86809882
2017/8/16,1.176457468,0.407158687,25.76351821,0.887291655,574.4588889,510.1634945,0.053721224,0.888076596
2017/8/17,1.551693334,0.482344104,31.86735572,0.885546093,804.944,714.7512234,0.050035968,0.887951489
2017/8/18,1.99301059,0.46439014,25.83562705,0.899191947,1065.435556,960.9202732,0.02885821,0.901903703
2017/8/19,1.86023126,0.44195455,25.22921416,0.895046494,986.372,887.1628488,0.030556349,0.899420147
2017/8/20,1.840013375,0.48500505,30.03885565,0.900847535,977.9745,883.5876729,0.03441966,0.903487435
2017/8/21,1.34400297,0.499823254,19.44174457,0.842524395,615.9533333,520.5797626,0.053941792,0.845161045
2017/8/22,1.916551207,0.423099836,32.05211892,0.849249378,1073.084,921.7917969,0.036907733,0.85901178
2017/8/23,1.795661652,0.391630853,27.46406507,0.92961778,1047.2455,981.2322487,0.028913023,0.936964875
2017/8/24,1.237789496,0.355563079,23.47023639,0.899597985,699.27,631.4519483,0.041218602,0.903015928
2017/8/25,1.614043186,0.445446923,27.70634529,0.895386693,871.0135,784.0188582,0.038271554,0.90012251
2017/8/26,1.510816089,0.407662647,24.28497002,0.902443909,882.7927778,799.611369,0.035037011,0.905774706
2017/8/27,1.138529872,0.33961666,25.6402803,0.88869714,638.4275,568.2696378,0.045049805,0.890108333
2017/8/28,1.019399031,0.325108894,22.34738902,0.877282468,592.676,519.9820824,0.045553766,0.877346278
2017/8/29,1.447697437,0.35191027,22.32347478,0.922127146,834.325,773.6012967,0.030571896,0.927218166
2017/8/30,1.713502281,0.430671937,22.32991311,0.884699256,1036.101,923.1261888,0.025446205,0.890961585
2017/8/31,1.460757078,0.373989583,21.86000407,0.875659613,805.332,709.5018581,0.032133319,0.881005422
2017/9/1,1.578148982,0.381633465,23.31737533,0.885748894,895.6255,801.7874539,0.031154338,0.895226246
2017/9/2,1.228804609,0.313613593,24.67545232,0.892326348,703.642,633.9666919,0.044412178,0.900979038
2017/9/3,1.455438637,0.37848143,24.24157158,0.893412033,843.432,759.7543543,0.032414237,0.900789102
2017/9/4,0.561379608,0.230227277,14.80968477,0.855797719,305.39,261.9505927,0.057856891,0.857757597
2017/9/5,1.705121873,0.427129407,19.09395383,0.890430896,985.2875,882.9994949,0.023860907,0.896184611
2017/9/6,1.421213033,0.366567277,16.43409568,0.864228282,887.1175,772.5677872,0.023218751,0.87087425
2017/9/7,1.451059924,0.387242038,15.49336234,0.903952232,953.4635,869.6191456,0.018826766,0.912063383
2017/9/8,1.487019829,0.478387878,11.82153848,0.846049576,922.945,783.8015487,0.016157459,0.849239715
2017/9/9,1.217747575,0.46138029,11.73909355,0.822048505,822.768,679.4167235,0.018888685,0.825769504
2017/9/10,1.043858761,0.453224544,10.95355847,0.803262003,800.565,644.146812,0.018942291,0.804615255
2017/9/11,1.108906351,0.451202108,10.73137832,0.804770364,852.6185,692.0523009,0.016687907,0.81167873
2017/9/12,0.941369824,0.501377473,9.683625848,0.735163642,810.06,597.0349128,0.018011146,0.737025545
2017/9/13,0.787911107,0.53998306,9.071657351,0.698815378,793.513,555.4496834,0.018246747,0.699988133
2017/9/14,0.555563807,0.552286874,5.497865176,0.587991097,796.9375,472.4187432,0.012226061,0.592792714
