Date,SIF_760_Irrigated
(yyyy/mm/dd),()
2017/07/15,1.828
2017/07/16,1.890
2017/07/17,1.797
2017/07/18,1.350
2017/07/19,1.909
2017/07/21,1.744
2017/07/22,1.458
2017/07/23,1.533
2017/07/24,1.456
2017/07/27,1.359
2017/07/28,1.151
2017/07/29,1.378
2017/07/30,1.167
2017/07/31,1.045
2017/08/01,1.116
2017/08/02,0.933
2017/08/03,1.646
2017/08/04,1.526
2017/08/07,1.212
2017/08/08,1.301
2017/08/10,1.162
2017/08/11,1.432
2017/08/14,1.234
2017/08/15,1.431
2017/08/16,1.651
2017/08/17,1.635
2017/08/18,1.337
2017/08/19,1.406
2017/08/20,1.584
2017/08/21,1.019
2017/08/22,1.665
2017/08/23,1.505
2017/08/24,1.309
2017/08/25,1.441
2017/08/26,0.981
2017/08/27,1.374
2017/08/28,1.356
2017/08/29,1.084
2017/08/30,1.073
2017/08/31,0.994
2017/09/01,1.041
2017/09/05,1.304
2017/09/06,1.022
2017/09/07,1.145
2017/09/08,1.067
2017/09/09,0.731
2017/09/10,0.635
2017/09/11,0.766
2017/09/12,0.791
2017/09/13,0.726
2017/09/14,1.023
2017/09/15,0.845
2017/09/17,0.518
